Country Name,ISO Code,IEA Name,Aggregate Region
Afghanistan,afg,Other Asia,Other Asia/Pacific
Albania,alb,Albania,Europe
Algeria,dza,Algeria,Africa
American Samoa,asm,Other Non-OECD Americas,Other Asia/Pacific
Angola,ago,Angola,Africa
Antigua and Barbuda,atg,Other Non-OECD Americas,Latin America
Argentina,arg,Argentina,Latin America
Armenia,arm,Armenia,Former Soviet Union
Aruba,abw,Other Non-OECD Americas,Latin America
Australia,aus,Australia,Other Asia/Pacific
Austria,aut,Austria,Europe
Azerbaijan,aze,Azerbaijan,Former Soviet Union
Bahamas,bhs,Other Non-OECD Americas,Latin America
Bahrain,bhr,Bahrain,Other Asia/Pacific
Bangladesh,bgd,Bangladesh,Other Asia/Pacific
Barbados,brb,Other Non-OECD Americas,Latin America
Belarus,blr,Belarus,Former Soviet Union
Belgium,bel,Belgium,Europe
Belize,blz,Other Non-OECD Americas,Latin America
Benin,ben,Benin,Africa
Bermuda,bmu,Other Non-OECD Americas,Latin America
Bhutan,btn,Other Asia,Other Asia/Pacific
Bolivia,bol,Bolivia,Latin America
Bosnia and Herzegovina,bih,Bosnia and Herzegovina,Europe
Botswana,bwa,Botswana,Africa
Brazil,bra,Brazil,Latin America
British Virgin Islands,vgb,Other Non-OECD Americas,Latin America
Brunei Darussalam,brn,Brunei Darussalam,Other Asia/Pacific
Bulgaria,bgr,Bulgaria,Europe
Burkina Faso,bfa,Other Africa,Africa
Burundi,bdi,Other Africa,Africa
Cambodia,khm,Cambodia,Other Asia/Pacific
Cameroon,cmr,Cameroon,Africa
Canada,can,Canada,North America
Cape Verde,cpv,Other Africa,Africa
Cayman Islands,cym,Other Non-OECD Americas,Latin America
Central African Republic,caf,Other Africa,Africa
Chad,tcd,Other Africa,Africa
Chile,chl,Chile,Latin America
China,chn,Peoples Republic of China,China
Chinese Taipei,twn,Chinese Taipei,Other Asia/Pacific
Colombia,col,Colombia,Latin America
Comoros,com,Other Africa,Africa
Congo,cog,Congo,Africa
Cook Islands,cok,Other Asia,Other Asia/Pacific
Costa Rica,cri,Costa Rica,Latin America
Cote dIvoire,civ,Cote dIvoire,Africa
Croatia,hrv,Croatia,Europe
Cuba,cub,Cuba,Latin America
Curacao,cuw,Curacao,Latin America
Cyprus,cyp,Cyprus,Europe
Czech Republic,cze,Czech Republic,Europe
Democratic Peoples Republic of Korea,prk,Dem. Peoples Rep. of Korea,Other Asia/Pacific
Democratic Republic of Congo,cod,Dem. Republic of the Congo,Africa
Democratic Republic of Congo,cod,Democratic Republic of Congo,Africa
Denmark,dnk,Denmark,Europe
Djibouti,dji,Other Africa,Africa
Dominica,dma,Other Non-OECD Americas,Latin America
Dominican Republic,dom,Dominican Republic,Latin America
Ecuador,ecu,Ecuador,Latin America
Egypt,egy,Egypt,Africa
El Salvador,slv,El Salvador,Latin America
Equatorial Guinea,gnq,Other Africa,Africa
Eritrea,eri,Eritrea,Africa
Estonia,est,Estonia,Former Soviet Union
Ethiopia,eth,Ethiopia,Africa
Faeroe Islands,fro,,Latin America
Falkland Islands,flk,Other Non-OECD Americas,Latin America
Federated States of Micronesia,fsm,Other Asia,Other Asia/Pacific
Fiji,fji,Other Asia,Other Asia/Pacific
Finland,fin,Finland,Europe
France,fra,France,Europe
French Guiana,guf,Other Non-OECD Americas,Latin America
